,"T",,"date"
,46.79,0,"2022,05,31,10:42:24"
,48.06,1.03,"2022,05,31,10:42:24"
,49.59,2.03,"2022,05,31,10:42:24"
,50.1,3.03,"2022,05,31,10:42:24"
,50.36,4.03,"2022,05,31,10:42:24"
,51.12,5.04,"2022,05,31,10:42:24"
,50.61,6.06,"2022,05,31,10:42:24"
,51.63,7.06,"2022,05,31,10:42:25"
,51.12,8.06,"2022,05,31,10:42:26"
,51.63,9.07,"2022,05,31,10:42:27"
,51.89,10.07,"2022,05,31,10:42:28"
,51.63,11.1,"2022,05,31,10:42:29"
,51.89,12.1,"2022,05,31,10:42:30"
,52.4,13.1,"2022,05,31,10:42:31"
,51.89,14.1,"2022,05,31,10:42:32"
,52.4,15.1,"2022,05,31,10:42:33"
,51.63,16.13,"2022,05,31,10:42:34"
,52.14,17.13,"2022,05,31,10:42:35"
,51.63,18.13,"2022,05,31,10:42:36"
,51.89,19.13,"2022,05,31,10:42:37"
,51.89,20.14,"2022,05,31,10:42:38"
,53.16,21.16,"2022,05,31,10:42:39"
,52.65,22.17,"2022,05,31,10:42:40"
,53.16,23.17,"2022,05,31,10:42:41"
,52.65,24.17,"2022,05,31,10:42:42"
,53.67,25.17,"2022,05,31,10:42:43"
,54.18,26.2,"2022,05,31,10:42:44"
,53.67,27.2,"2022,05,31,10:42:45"
,54.69,28.2,"2022,05,31,10:42:46"
,53.93,29.2,"2022,05,31,10:42:47"
,55.2,30.2,"2022,05,31,10:42:48"
,55.2,31.23,"2022,05,31,10:42:49"
,55.2,32.23,"2022,05,31,10:42:50"
,55.97,33.23,"2022,05,31,10:42:51"
,55.71,34.24,"2022,05,31,10:42:52"
,55.97,35.24,"2022,05,31,10:42:53"
,56.48,36.27,"2022,05,31,10:42:54"
,56.48,37.27,"2022,05,31,10:42:55"
,56.73,38.27,"2022,05,31,10:42:56"
,56.48,39.27,"2022,05,31,10:42:57"
,56.48,40.27,"2022,05,31,10:42:58"
,56.99,41.3,"2022,05,31,10:42:59"
,57.76,42.3,"2022,05,31,10:43:00"
,56.99,43.3,"2022,05,31,10:43:01"
,58.01,44.3,"2022,05,31,10:43:02"
,57.5,45.31,"2022,05,31,10:43:03"
,58.78,46.33,"2022,05,31,10:43:04"
,58.01,47.34,"2022,05,31,10:43:05"
,59.03,48.34,"2022,05,31,10:43:06"
,59.29,49.34,"2022,05,31,10:43:07"
,59.03,50.34,"2022,05,31,10:43:08"
,59.54,51.37,"2022,05,31,10:43:09"
,59.03,52.37,"2022,05,31,10:43:10"
,59.54,53.37,"2022,05,31,10:43:11"
,59.54,54.37,"2022,05,31,10:43:12"
,60.56,55.37,"2022,05,31,10:43:13"
,59.8,56.4,"2022,05,31,10:43:14"
,60.56,57.4,"2022,05,31,10:43:15"
,60.05,58.4,"2022,05,31,10:43:16"
,60.31,59.41,"2022,05,31,10:43:17"
,60.82,60.41,"2022,05,31,10:43:18"
,61.07,61.43,"2022,05,31,10:43:20"
,61.58,62.44,"2022,05,31,10:43:20"
,62.09,63.44,"2022,05,31,10:43:21"
,61.84,64.44,"2022,05,31,10:43:22"
,62.09,65.44,"2022,05,31,10:43:23"
,62.35,66.47,"2022,05,31,10:43:25"
,62.09,67.47,"2022,05,31,10:43:26"
,62.86,68.47,"2022,05,31,10:43:27"
,62.6,69.47,"2022,05,31,10:43:28"
,63.11,70.47,"2022,05,31,10:43:29"
,62.86,71.5,"2022,05,31,10:43:30"
,63.88,72.5,"2022,05,31,10:43:31"
,63.88,73.5,"2022,05,31,10:43:32"
,63.37,74.51,"2022,05,31,10:43:33"
,64.39,75.51,"2022,05,31,10:43:34"
,63.88,76.54,"2022,05,31,10:43:35"
,64.39,77.54,"2022,05,31,10:43:36"
,64.9,78.54,"2022,05,31,10:43:37"
,64.9,79.54,"2022,05,31,10:43:38"
,64.39,80.54,"2022,05,31,10:43:39"
,64.9,81.57,"2022,05,31,10:43:40"
,64.64,82.57,"2022,05,31,10:43:41"
,64.9,83.57,"2022,05,31,10:43:42"
,65.15,84.57,"2022,05,31,10:43:43"
,65.66,85.58,"2022,05,31,10:43:44"
,66.17,86.6,"2022,05,31,10:43:45"
,66.17,87.61,"2022,05,31,10:43:46"
,66.17,88.61,"2022,05,31,10:43:47"
,66.68,89.61,"2022,05,31,10:43:48"
,66.17,90.61,"2022,05,31,10:43:49"
,67.19,91.64,"2022,05,31,10:43:50"
,66.68,92.64,"2022,05,31,10:43:51"
,67.45,93.64,"2022,05,31,10:43:52"
,66.94,94.64,"2022,05,31,10:43:53"
,67.7,95.64,"2022,05,31,10:43:54"
,67.45,96.67,"2022,05,31,10:43:55"
,67.45,97.67,"2022,05,31,10:43:56"
,67.96,98.68,"2022,05,31,10:43:57"
,67.7,99.68,"2022,05,31,10:43:58"
,67.96,100.68,"2022,05,31,10:43:59"
,68.47,101.71,"2022,05,31,10:44:00"
,68.21,102.71,"2022,05,31,10:44:01"
,68.47,103.71,"2022,05,31,10:44:02"
,68.72,104.71,"2022,05,31,10:44:03"
,68.72,105.71,"2022,05,31,10:44:04"
,69.74,106.74,"2022,05,31,10:44:05"
,69.49,107.74,"2022,05,31,10:44:06"
,69.23,108.75,"2022,05,31,10:44:07"
,70.51,109.75,"2022,05,31,10:44:08"
,69.74,110.75,"2022,05,31,10:44:09"
,70.77,111.78,"2022,05,31,10:44:10"
,70.26,112.78,"2022,05,31,10:44:11"
,70.51,113.78,"2022,05,31,10:44:12"
,70.77,114.78,"2022,05,31,10:44:13"
,71.28,115.78,"2022,05,31,10:44:14"
,71.28,116.81,"2022,05,31,10:44:15"
,71.79,117.81,"2022,05,31,10:44:16"
,71.02,118.81,"2022,05,31,10:44:17"
,71.79,119.82,"2022,05,31,10:44:18"
,71.28,120.82,"2022,05,31,10:44:19"
,71.79,121.85,"2022,05,31,10:44:20"
,72.04,122.85,"2022,05,31,10:44:21"
,72.3,123.85,"2022,05,31,10:44:22"
,72.81,124.85,"2022,05,31,10:44:23"
,73.06,125.85,"2022,05,31,10:44:24"
,72.81,126.88,"2022,05,31,10:44:25"
,72.55,127.88,"2022,05,31,10:44:26"
,73.06,128.88,"2022,05,31,10:44:27"
,73.32,129.89,"2022,05,31,10:44:28"
,74.08,130.89,"2022,05,31,10:44:29"
,73.83,131.92,"2022,05,31,10:44:30"
,74.34,132.92,"2022,05,31,10:44:31"
,73.57,133.92,"2022,05,31,10:44:32"
,74.59,134.92,"2022,05,31,10:44:33"
,74.85,135.92,"2022,05,31,10:44:34"
,74.08,136.95,"2022,05,31,10:44:35"
,74.59,137.95,"2022,05,31,10:44:36"
,74.59,138.96,"2022,05,31,10:44:37"
,75.36,139.96,"2022,05,31,10:44:38"
,74.85,140.96,"2022,05,31,10:44:39"
,75.36,141.99,"2022,05,31,10:44:40"
,75.61,142.99,"2022,05,31,10:44:41"
,75.61,143.99,"2022,05,31,10:44:42"
,75.61,144.99,"2022,05,31,10:44:43"
,76.63,145.99,"2022,05,31,10:44:44"
,76.38,147.02,"2022,05,31,10:44:45"
,76.12,148.02,"2022,05,31,10:44:46"
,76.63,149.02,"2022,05,31,10:44:47"
,77.4,150.03,"2022,05,31,10:44:48"
,77.4,151.03,"2022,05,31,10:44:49"
,77.65,152.06,"2022,05,31,10:44:50"
,77.14,153.06,"2022,05,31,10:44:51"
,77.14,154.06,"2022,05,31,10:44:52"
,77.65,155.06,"2022,05,31,10:44:53"
,78.16,156.06,"2022,05,31,10:44:54"
,78.67,157.09,"2022,05,31,10:44:55"
,78.67,158.09,"2022,05,31,10:44:56"
,78.67,159.1,"2022,05,31,10:44:57"
,78.42,160.1,"2022,05,31,10:44:58"
,78.93,161.1,"2022,05,31,10:44:59"
,78.67,162.13,"2022,05,31,10:45:00"
,79.18,163.13,"2022,05,31,10:45:01"
,79.18,164.13,"2022,05,31,10:45:02"
,79.44,165.13,"2022,05,31,10:45:03"
,79.18,166.13,"2022,05,31,10:45:04"
,79.95,167.16,"2022,05,31,10:45:05"
,79.69,168.16,"2022,05,31,10:45:06"
,79.95,169.16,"2022,05,31,10:45:07"
,80.46,170.17,"2022,05,31,10:45:08"
,80.71,171.17,"2022,05,31,10:45:09"
,80.2,172.21,"2022,05,31,10:45:10"
,81.22,173.22,"2022,05,31,10:45:11"
,80.71,174.22,"2022,05,31,10:45:12"
,81.48,175.22,"2022,05,31,10:45:13"
,80.71,176.22,"2022,05,31,10:45:14"
,80.97,177.25,"2022,05,31,10:45:15"
,81.22,178.25,"2022,05,31,10:45:16"
,81.73,179.25,"2022,05,31,10:45:17"
,82.24,180.26,"2022,05,31,10:45:18"
,81.73,181.26,"2022,05,31,10:45:19"
,81.73,182.29,"2022,05,31,10:45:20"
,81.99,183.29,"2022,05,31,10:45:21"
,82.24,184.29,"2022,05,31,10:45:22"
,83.01,185.29,"2022,05,31,10:45:23"
,83.01,186.29,"2022,05,31,10:45:24"
,83.01,187.32,"2022,05,31,10:45:25"
,83.01,188.32,"2022,05,31,10:45:26"
,83.01,189.32,"2022,05,31,10:45:27"
,82.76,190.33,"2022,05,31,10:45:28"
,83.01,191.33,"2022,05,31,10:45:29"
,83.27,192.36,"2022,05,31,10:45:30"
,83.52,193.36,"2022,05,31,10:45:31"
,82.76,194.36,"2022,05,31,10:45:32"
,82.76,195.36,"2022,05,31,10:45:33"
,83.27,196.36,"2022,05,31,10:45:34"
,83.52,197.39,"2022,05,31,10:45:35"
,83.52,198.39,"2022,05,31,10:45:36"
,82.76,199.4,"2022,05,31,10:45:37"
,82.76,200.4,"2022,05,31,10:45:38"
,83.27,201.4,"2022,05,31,10:45:39"
,82.5,202.43,"2022,05,31,10:45:40"
,83.52,203.43,"2022,05,31,10:45:41"
,82.5,204.43,"2022,05,31,10:45:42"
,83.27,205.43,"2022,05,31,10:45:43"
,83.27,206.43,"2022,05,31,10:45:44"
,82.5,207.46,"2022,05,31,10:45:45"
,82.5,208.46,"2022,05,31,10:45:46"
,82.76,209.47,"2022,05,31,10:45:47"
,82.5,210.47,"2022,05,31,10:45:48"
,82.76,211.47,"2022,05,31,10:45:49"
,82.5,212.5,"2022,05,31,10:45:50"
,83.01,213.5,"2022,05,31,10:45:51"
,82.76,214.5,"2022,05,31,10:45:52"
,83.01,215.5,"2022,05,31,10:45:53"
,82.5,216.5,"2022,05,31,10:45:54"
,83.01,217.53,"2022,05,31,10:45:56"
,81.73,218.53,"2022,05,31,10:45:56"
,81.73,219.54,"2022,05,31,10:45:58"
,82.76,220.54,"2022,05,31,10:45:58"
,82.5,221.54,"2022,05,31,10:46:00"
,81.73,222.57,"2022,05,31,10:46:01"
,81.73,223.57,"2022,05,31,10:46:02"
,82.24,224.57,"2022,05,31,10:46:03"
,82.24,225.57,"2022,05,31,10:46:04"
,81.48,226.57,"2022,05,31,10:46:05"
