,"T","t","date"
0,31.22,0,"2022,06,01,18:03:39"
0,32.76,1.03,"2022,06,01,18:03:40"
0,33.27,2.03,"2022,06,01,18:03:41"
0,33.52,3.03,"2022,06,01,18:03:42"
0,34.03,4.03,"2022,06,01,18:03:43"
0,34.03,5.04,"2022,06,01,18:03:44"
0,34.03,6.04,"2022,06,01,18:03:45"
0,34.54,7.04,"2022,06,01,18:03:46"
0,34.29,8.04,"2022,06,01,18:03:47"
0,34.29,9.04,"2022,06,01,18:03:48"
0,34.29,10.04,"2022,06,01,18:03:49"
0,34.54,11.08,"2022,06,01,18:03:50"
0,34.54,12.08,"2022,06,01,18:03:51"
0,34.8,13.08,"2022,06,01,18:03:52"
0,34.8,14.08,"2022,06,01,18:03:53"
0,34.54,15.08,"2022,06,01,18:03:54"
0,34.8,16.08,"2022,06,01,18:03:55"
0,34.54,17.08,"2022,06,01,18:03:56"
0,34.8,18.09,"2022,06,01,18:03:57"
0,35.05,19.09,"2022,06,01,18:03:58"
0,34.8,20.09,"2022,06,01,18:03:59"
0,34.8,21.12,"2022,06,01,18:04:00"
0,35.05,22.12,"2022,06,01,18:04:01"
0,34.8,23.12,"2022,06,01,18:04:02"
0,35.05,24.13,"2022,06,01,18:04:03"
0,35.05,25.13,"2022,06,01,18:04:04"
0,34.8,26.13,"2022,06,01,18:04:05"
0,34.8,27.13,"2022,06,01,18:04:06"
0,35.05,28.13,"2022,06,01,18:04:07"
0,34.8,29.13,"2022,06,01,18:04:08"
0,35.05,30.14,"2022,06,01,18:04:09"
0,35.31,31.17,"2022,06,01,18:04:10"
0,35.05,32.17,"2022,06,01,18:04:11"
0,35.05,33.17,"2022,06,01,18:04:12"
0,35.31,34.17,"2022,06,01,18:04:13"
0,35.56,35.17,"2022,06,01,18:04:14"
0,35.82,36.18,"2022,06,01,18:04:15"
0,35.56,37.18,"2022,06,01,18:04:16"
0,36.07,38.18,"2022,06,01,18:04:17"
0,35.56,39.18,"2022,06,01,18:04:18"
0,35.56,40.18,"2022,06,01,18:04:19"
0,35.31,41.21,"2022,06,01,18:04:20"
0,35.56,42.22,"2022,06,01,18:04:21"
0,35.56,43.22,"2022,06,01,18:04:22"
0,35.56,44.22,"2022,06,01,18:04:23"
0,35.56,45.22,"2022,06,01,18:04:24"
0,35.56,46.22,"2022,06,01,18:04:25"
