"T",,"date"
31.25,0,"2022,05,30,11:03:48"
33.25,1.04,"2022,05,30,11:03:48"
34,2.04,"2022,05,30,11:03:48"
34.25,3.04,"2022,05,30,11:03:49"
35.25,4.05,"2022,05,30,11:03:50"
35,5.05,"2022,05,30,11:03:51"
35.5,6.05,"2022,05,30,11:03:52"
36.25,7.05,"2022,05,30,11:03:53"
36.5,8.05,"2022,05,30,11:03:54"
37,9.05,"2022,05,30,11:03:55"
36.5,10.05,"2022,05,30,11:03:56"
37.25,11.06,"2022,05,30,11:03:57"
38,12.06,"2022,05,30,11:03:58"
37.5,13.06,"2022,05,30,11:03:59"
38.25,14.06,"2022,05,30,11:04:00"
38.5,15.06,"2022,05,30,11:04:01"
38,16.06,"2022,05,30,11:04:02"
38.75,17.06,"2022,05,30,11:04:03"
39.25,18.07,"2022,05,30,11:04:04"
39,19.07,"2022,05,30,11:04:05"
39,20.07,"2022,05,30,11:04:06"
40,21.07,"2022,05,30,11:04:07"
39.75,22.07,"2022,05,30,11:04:08"
40,23.07,"2022,05,30,11:04:09"
40.5,24.07,"2022,05,30,11:04:10"
40,25.08,"2022,05,30,11:04:11"
40,26.08,"2022,05,30,11:04:12"
41,27.08,"2022,05,30,11:04:13"
40.25,28.08,"2022,05,30,11:04:14"
40.75,29.08,"2022,05,30,11:04:15"
41.25,30.08,"2022,05,30,11:04:16"
41.5,31.09,"2022,05,30,11:04:17"
41,32.09,"2022,05,30,11:04:18"
41.25,33.09,"2022,05,30,11:04:19"
41.25,34.09,"2022,05,30,11:04:20"
41.5,35.09,"2022,05,30,11:04:21"
41.75,36.09,"2022,05,30,11:04:22"
42.5,37.1,"2022,05,30,11:04:23"
42.25,38.1,"2022,05,30,11:04:24"
42,39.1,"2022,05,30,11:04:25"
42.75,40.1,"2022,05,30,11:04:26"
42.5,41.1,"2022,05,30,11:04:27"
42.25,42.1,"2022,05,30,11:04:28"
42.75,43.1,"2022,05,30,11:04:29"
42.75,44.11,"2022,05,30,11:04:30"
43,45.11,"2022,05,30,11:04:31"
43,46.11,"2022,05,30,11:04:32"
43,47.11,"2022,05,30,11:04:33"
42.25,48.11,"2022,05,30,11:04:34"
42.25,49.11,"2022,05,30,11:04:35"
42.5,50.12,"2022,05,30,11:04:36"
42.25,51.12,"2022,05,30,11:04:37"
43,52.12,"2022,05,30,11:04:38"
42.25,53.12,"2022,05,30,11:04:39"
42.75,54.12,"2022,05,30,11:04:40"
42.75,55.12,"2022,05,30,11:04:41"
42,56.12,"2022,05,30,11:04:42"
42.25,57.13,"2022,05,30,11:04:43"
42.5,58.13,"2022,05,30,11:04:44"
42.75,59.13,"2022,05,30,11:04:45"
42.75,60.13,"2022,05,30,11:04:46"
43,61.13,"2022,05,30,11:04:47"
42.75,62.13,"2022,05,30,11:04:48"
42.25,63.13,"2022,05,30,11:04:49"
42.25,64.14,"2022,05,30,11:04:50"
42,65.14,"2022,05,30,11:04:51"
42.5,66.14,"2022,05,30,11:04:52"
42.75,67.14,"2022,05,30,11:04:53"
42,68.14,"2022,05,30,11:04:54"
41.75,69.14,"2022,05,30,11:04:55"
41.75,70.14,"2022,05,30,11:04:56"
42,71.15,"2022,05,30,11:04:57"
42.75,72.15,"2022,05,30,11:04:58"
42,73.15,"2022,05,30,11:04:59"
42.25,74.15,"2022,05,30,11:05:00"
42.5,75.15,"2022,05,30,11:05:01"
42,76.15,"2022,05,30,11:05:02"
41.5,77.16,"2022,05,30,11:05:03"
42,78.16,"2022,05,30,11:05:04"
42.25,79.16,"2022,05,30,11:05:05"
42,80.16,"2022,05,30,11:05:06"
42.25,81.16,"2022,05,30,11:05:07"
42.25,82.16,"2022,05,30,11:05:08"
42.25,83.16,"2022,05,30,11:05:09"
41.75,84.17,"2022,05,30,11:05:10"
42.25,85.17,"2022,05,30,11:05:11"
41.75,86.17,"2022,05,30,11:05:12"
41.75,87.17,"2022,05,30,11:05:13"
41.25,88.17,"2022,05,30,11:05:14"
41.75,89.17,"2022,05,30,11:05:15"
41.25,90.18,"2022,05,30,11:05:16"
41.5,91.18,"2022,05,30,11:05:17"
42,92.18,"2022,05,30,11:05:18"
41.75,93.18,"2022,05,30,11:05:19"
41.75,94.18,"2022,05,30,11:05:20"
41,95.18,"2022,05,30,11:05:21"
41.5,96.18,"2022,05,30,11:05:22"
41.25,97.19,"2022,05,30,11:05:23"
41.75,98.19,"2022,05,30,11:05:24"
40.75,99.19,"2022,05,30,11:05:25"
41,100.19,"2022,05,30,11:05:26"
40.75,101.19,"2022,05,30,11:05:27"
41.5,102.19,"2022,05,30,11:05:28"
41.5,103.2,"2022,05,30,11:05:29"
41.5,104.2,"2022,05,30,11:05:30"
41.5,105.2,"2022,05,30,11:05:31"
41,106.2,"2022,05,30,11:05:32"
40.75,107.2,"2022,05,30,11:05:33"
41.5,108.2,"2022,05,30,11:05:34"
41.5,109.21,"2022,05,30,11:05:35"
41.25,110.21,"2022,05,30,11:05:36"
41.5,111.21,"2022,05,30,11:05:37"
41.25,112.21,"2022,05,30,11:05:38"
41,113.21,"2022,05,30,11:05:39"
41,114.21,"2022,05,30,11:05:40"
40.5,115.21,"2022,05,30,11:05:41"
41,116.22,"2022,05,30,11:05:42"
40.5,117.22,"2022,05,30,11:05:43"
40.5,118.22,"2022,05,30,11:05:44"
41,119.22,"2022,05,30,11:05:45"
41.25,120.22,"2022,05,30,11:05:46"
40.5,121.22,"2022,05,30,11:05:47"
40.5,122.23,"2022,05,30,11:05:48"
41.25,123.23,"2022,05,30,11:05:49"
40.75,124.23,"2022,05,30,11:05:50"
41,125.23,"2022,05,30,11:05:51"
40.5,126.23,"2022,05,30,11:05:52"
40.75,127.23,"2022,05,30,11:05:53"
40.25,128.24,"2022,05,30,11:05:54"
40.75,129.24,"2022,05,30,11:05:55"
41,130.24,"2022,05,30,11:05:56"
41,131.24,"2022,05,30,11:05:57"
40.75,132.24,"2022,05,30,11:05:58"
41,133.24,"2022,05,30,11:05:59"
40.75,134.25,"2022,05,30,11:06:00"
40.75,135.25,"2022,05,30,11:06:01"
40.25,136.25,"2022,05,30,11:06:02"
40,137.25,"2022,05,30,11:06:03"
41,138.25,"2022,05,30,11:06:04"
40.75,139.25,"2022,05,30,11:06:05"
40.5,140.25,"2022,05,30,11:06:06"
40.5,141.26,"2022,05,30,11:06:07"
40.5,142.26,"2022,05,30,11:06:08"
40,143.26,"2022,05,30,11:06:09"
41,144.26,"2022,05,30,11:06:10"
40.75,145.26,"2022,05,30,11:06:11"
40,146.26,"2022,05,30,11:06:12"
41,147.27,"2022,05,30,11:06:13"
40.75,148.27,"2022,05,30,11:06:14"
40.75,149.27,"2022,05,30,11:06:15"
40.75,150.27,"2022,05,30,11:06:16"
40.25,151.27,"2022,05,30,11:06:17"
40.25,152.27,"2022,05,30,11:06:18"
40,153.27,"2022,05,30,11:06:19"
40.5,154.28,"2022,05,30,11:06:20"
40.75,155.28,"2022,05,30,11:06:21"
40.5,156.28,"2022,05,30,11:06:22"
40.75,157.28,"2022,05,30,11:06:23"
40.75,158.28,"2022,05,30,11:06:24"
41,159.28,"2022,05,30,11:06:25"
40.75,160.29,"2022,05,30,11:06:26"
40.5,161.29,"2022,05,30,11:06:27"
40.5,162.29,"2022,05,30,11:06:28"
40.75,163.29,"2022,05,30,11:06:29"
40.75,164.29,"2022,05,30,11:06:30"
41,165.29,"2022,05,30,11:06:31"
40.75,166.3,"2022,05,30,11:06:32"
40.5,167.3,"2022,05,30,11:06:33"
41.25,168.3,"2022,05,30,11:06:34"
41,169.3,"2022,05,30,11:06:35"
41,170.3,"2022,05,30,11:06:36"
40.25,171.3,"2022,05,30,11:06:37"
40.5,172.31,"2022,05,30,11:06:38"
40.5,173.31,"2022,05,30,11:06:39"
40.5,174.31,"2022,05,30,11:06:40"
41,175.31,"2022,05,30,11:06:41"
40.5,176.31,"2022,05,30,11:06:42"
40.5,177.31,"2022,05,30,11:06:43"
40.75,178.31,"2022,05,30,11:06:44"
40.5,179.32,"2022,05,30,11:06:45"
40.5,180.32,"2022,05,30,11:06:46"
40.5,181.32,"2022,05,30,11:06:47"
41,182.32,"2022,05,30,11:06:48"
40.5,183.32,"2022,05,30,11:06:49"
41,184.32,"2022,05,30,11:06:50"
41.25,185.33,"2022,05,30,11:06:51"
40.75,186.33,"2022,05,30,11:06:52"
41,187.33,"2022,05,30,11:06:53"
40.5,188.33,"2022,05,30,11:06:54"
40.25,189.33,"2022,05,30,11:06:55"
40.5,190.33,"2022,05,30,11:06:56"
41,191.34,"2022,05,30,11:06:57"
40.5,192.34,"2022,05,30,11:06:58"
40.5,193.34,"2022,05,30,11:06:59"
40.25,194.34,"2022,05,30,11:07:00"
41,195.34,"2022,05,30,11:07:01"
40.25,196.34,"2022,05,30,11:07:02"
40.5,197.34,"2022,05,30,11:07:03"
40.25,198.35,"2022,05,30,11:07:04"
40.25,199.35,"2022,05,30,11:07:05"
41,200.35,"2022,05,30,11:07:06"
40.25,201.35,"2022,05,30,11:07:07"
41,202.35,"2022,05,30,11:07:08"
41,203.35,"2022,05,30,11:07:09"
40.25,204.36,"2022,05,30,11:07:10"
40.25,205.36,"2022,05,30,11:07:11"
41,206.37,"2022,05,30,11:07:12"
40.5,207.37,"2022,05,30,11:07:13"
40.75,208.37,"2022,05,30,11:07:14"
41,209.37,"2022,05,30,11:07:15"
41,210.38,"2022,05,30,11:07:16"
40.25,211.38,"2022,05,30,11:07:17"
40.5,212.38,"2022,05,30,11:07:18"
40.75,213.38,"2022,05,30,11:07:19"
41,214.38,"2022,05,30,11:07:20"
41.25,215.38,"2022,05,30,11:07:21"
41.25,216.38,"2022,05,30,11:07:22"
41.75,217.39,"2022,05,30,11:07:23"
41,218.39,"2022,05,30,11:07:24"
41.5,219.39,"2022,05,30,11:07:25"
42,220.39,"2022,05,30,11:07:26"
42,221.39,"2022,05,30,11:07:27"
42,222.4,"2022,05,30,11:07:28"
41.75,223.4,"2022,05,30,11:07:29"
42,224.4,"2022,05,30,11:07:30"
42.5,225.4,"2022,05,30,11:07:31"
42,226.4,"2022,05,30,11:07:32"
43,227.4,"2022,05,30,11:07:33"
43.5,228.4,"2022,05,30,11:07:34"
42.75,229.41,"2022,05,30,11:07:35"
43.75,230.41,"2022,05,30,11:07:36"
43.75,231.41,"2022,05,30,11:07:37"
43.25,232.41,"2022,05,30,11:07:38"
44,233.41,"2022,05,30,11:07:39"
44,234.41,"2022,05,30,11:07:40"
44.5,235.41,"2022,05,30,11:07:41"
44.75,236.42,"2022,05,30,11:07:42"
44.5,237.42,"2022,05,30,11:07:43"
44.75,238.42,"2022,05,30,11:07:44"
45.75,239.42,"2022,05,30,11:07:45"
45.5,240.42,"2022,05,30,11:07:46"
45.75,241.42,"2022,05,30,11:07:47"
45.5,242.43,"2022,05,30,11:07:48"
46.5,243.43,"2022,05,30,11:07:49"
46.75,244.43,"2022,05,30,11:07:50"
46,245.43,"2022,05,30,11:07:51"
46.5,246.43,"2022,05,30,11:07:52"
47.5,247.43,"2022,05,30,11:07:53"
47,248.44,"2022,05,30,11:07:54"
47,249.44,"2022,05,30,11:07:55"
47.25,250.44,"2022,05,30,11:07:56"
48.25,251.44,"2022,05,30,11:07:57"
48.25,252.44,"2022,05,30,11:07:58"
48.75,253.44,"2022,05,30,11:07:59"
48.75,254.44,"2022,05,30,11:08:00"
49.25,255.45,"2022,05,30,11:08:01"
49,256.45,"2022,05,30,11:08:02"
49.25,257.45,"2022,05,30,11:08:03"
49.75,258.45,"2022,05,30,11:08:04"
49.25,259.45,"2022,05,30,11:08:05"
49.75,260.45,"2022,05,30,11:08:06"
49.75,261.45,"2022,05,30,11:08:07"
50.25,262.46,"2022,05,30,11:08:08"
50.25,263.46,"2022,05,30,11:08:09"
51,264.46,"2022,05,30,11:08:10"
51.25,265.46,"2022,05,30,11:08:11"
51.25,266.46,"2022,05,30,11:08:12"
51.75,267.46,"2022,05,30,11:08:13"
51.25,268.47,"2022,05,30,11:08:14"
52,269.47,"2022,05,30,11:08:15"
52.5,270.47,"2022,05,30,11:08:16"
52.25,271.47,"2022,05,30,11:08:17"
52.75,272.47,"2022,05,30,11:08:18"
52.25,273.47,"2022,05,30,11:08:19"
52.5,274.48,"2022,05,30,11:08:20"
52.5,275.48,"2022,05,30,11:08:21"
53.5,276.48,"2022,05,30,11:08:22"
53.25,277.48,"2022,05,30,11:08:23"
53.5,278.48,"2022,05,30,11:08:24"
53.75,279.48,"2022,05,30,11:08:25"
54.75,280.48,"2022,05,30,11:08:26"
54.25,281.49,"2022,05,30,11:08:27"
54.75,282.49,"2022,05,30,11:08:28"
54.75,283.49,"2022,05,30,11:08:29"
55.25,284.49,"2022,05,30,11:08:30"
55.75,285.49,"2022,05,30,11:08:31"
55.25,286.49,"2022,05,30,11:08:32"
55.5,287.5,"2022,05,30,11:08:33"
56.25,288.5,"2022,05,30,11:08:34"
