T,t,relay
31.25,0.0,1.0
33.25,0.0,1.0
34.0,0.0,1.0
34.25,1.0,1.0
35.25,2.0,1.0
35.0,3.0,1.0
35.5,4.0,1.0
36.25,5.0,1.0
36.5,6.0,1.0
37.0,7.0,1.0
36.5,8.0,1.0
37.25,9.0,1.0
38.0,10.0,1.0
37.5,11.0,1.0
38.25,12.0,1.0
38.5,13.0,1.0
38.0,14.0,1.0
38.75,15.0,1.0
39.25,16.0,1.0
39.0,17.0,1.0
39.0,18.0,1.0
40.0,19.0,1.0
39.75,20.0,1.0
40.0,21.0,1.0
40.5,22.0,0.0
40.0,23.0,1.0
40.0,24.0,1.0
41.0,25.0,0.0
40.25,26.0,0.0
40.75,27.0,0.0
41.25,28.0,0.0
41.5,29.0,0.0
41.0,30.0,0.0
41.25,31.0,0.0
41.25,32.0,0.0
41.5,33.0,0.0
41.75,34.0,0.0
42.5,35.0,0.0
42.25,36.0,0.0
42.0,37.0,0.0
42.75,38.0,0.0
42.5,39.0,0.0
42.25,40.0,0.0
42.75,41.0,0.0
42.75,42.0,0.0
43.0,43.0,0.0
43.0,44.0,0.0
43.0,45.0,0.0
42.25,46.0,0.0
42.25,47.0,0.0
42.5,48.0,0.0
42.25,49.0,0.0
43.0,50.0,0.0
42.25,51.0,0.0
42.75,52.0,0.0
42.75,53.0,0.0
42.0,54.0,0.0
42.25,55.0,0.0
42.5,56.0,0.0
42.75,57.0,0.0
42.75,58.0,0.0
43.0,59.0,0.0
42.75,60.0,0.0
42.25,61.0,0.0
42.25,62.0,0.0
42.0,63.0,0.0
42.5,64.0,0.0
42.75,65.0,0.0
42.0,66.0,0.0
41.75,67.0,0.0
41.75,68.0,0.0
42.0,69.0,0.0
42.75,70.0,0.0
42.0,71.0,0.0
42.25,72.0,0.0
42.5,73.0,0.0
42.0,74.0,0.0
41.5,75.0,0.0
42.0,76.0,0.0
42.25,77.0,0.0
42.0,78.0,0.0
42.25,79.0,0.0
42.25,80.0,0.0
42.25,81.0,0.0
41.75,82.0,0.0
42.25,83.0,0.0
41.75,84.0,0.0
41.75,85.0,0.0
41.25,86.0,0.0
41.75,87.0,0.0
41.25,88.0,0.0
41.5,89.0,0.0
42.0,90.0,0.0
41.75,91.0,0.0
41.75,92.0,0.0
